year_BP,mFRI_var,mFRI_1000,CI_u,CI_l
6440,137.3529412,145.2955455,160.3570573,130.2340336
6490,136.875,145.6273396,160.9860301,130.2686491
6540,135,146.1695861,161.8972365,130.4419357
6590,143.125,146.8449172,162.9973674,130.692467
6640,147.0652174,147.667959,164.2955268,131.0403911
6690,156.7777778,148.7194926,165.87162,131.5673652
6740,151.1363636,150.001073,167.7081052,132.2940409
6790,149.0217391,151.4549379,169.7152568,133.1946189
6840,153.0952381,152.9391783,171.716068,134.1622887
6890,159.1025641,154.2990568,173.5353369,135.0627767
6940,159.1891892,155.4866401,175.1406543,135.832626
6990,153.3823529,156.5997864,176.6625064,136.5370663
7040,158.4848485,157.6984945,178.1886514,137.2083376
7090,163.7096774,158.7725276,179.7149986,137.8300567
7140,154.6153846,159.7300664,181.1377831,138.3223497
7190,162.962963,160.455783,182.3117005,138.5998655
7240,156.2,160.8554048,183.1127335,138.5980762
7290,152.173913,160.9881302,183.6190615,138.357199
7340,167.5,161.0043795,184.0291687,137.9795903
7390,180.6818182,161.0012138,184.4630858,137.5393418
7440,167.1428571,160.9947675,184.9363254,137.0532097
7490,160.8695652,160.9323332,185.3785409,136.4861254
7540,153.8636364,160.7611008,185.7266279,135.7955738
7590,156.0869565,160.4451647,185.9449528,134.9453766
7640,150.8333333,160.1041352,186.1722149,134.0360554
7690,162.3913043,159.9892679,186.7143275,133.2642084
7740,165.4761905,160.2760365,187.7851695,132.7669035
7790,155.8333333,160.954411,189.3396256,132.5691964
7840,159.1176471,161.924231,191.2103322,132.6381299
7890,155.2777778,163.000326,193.1470845,132.8535675
7940,156,164.0171281,194.9647055,133.0695507
7990,153.2142857,164.9302284,196.6219471,133.2385097
8040,177.5,165.8060361,198.1939724,133.4180999
8090,187.6923077,166.7627329,199.819135,133.7063308
8140,187.6923077,167.8540091,201.5660201,134.1419981
8190,160,169.0353034,203.3853402,134.6852667
8240,160,169.9889655,204.8785358,135.0993952
8290,158.9285714,170.3036811,205.5156995,135.0916627
8340,173.2142857,169.7503798,205.0048165,134.495943
8390,172.8571429,168.3419379,203.3598336,133.3240421
8440,175.3333333,166.2593248,200.8000334,131.7186162
8490,176.4285714,163.6840263,197.5015361,129.8665165
8540,170.6666667,160.8374053,193.7187445,127.9560661
8590,178.4615385,157.9192182,189.7856837,126.0527526
8640,155.3846154,154.9644796,185.8476855,124.0812736
8690,140,151.9450267,181.931554,121.9584993
8740,140,148.9401756,178.1675611,119.7127902
8790,142.8571429,146.1532052,174.8206102,117.4858002
8840,142.8571429,143.9015351,172.2581631,115.5449071
8890,117.1428571,142.427902,170.7308715,114.1249324
8940,117.1428571,141.9060317,170.4165349,113.3955285
8990,147.3333333,142.4079707,171.4082938,113.4076477
9040,140,143.7128334,173.4609927,113.964674
9090,146.6666667,145.3710372,176.0556231,114.6864512
9140,141.25,146.9144123,178.6242122,115.2046124
9190,144.2857143,148.0786223,180.8126715,115.3445731
9240,164,148.7946784,182.4976503,115.0917065
9290,163.3333333,149.0505492,183.6109219,114.4901766
9340,169.2857143,148.7520412,183.9805823,113.5235002
9390,177,147.706177,183.3383508,112.0740031
9440,145.7142857,145.8504389,181.6550565,110.0458213
9490,130.6666667,141.8861038,177.5984504,106.1737571
9540,133.5714286,137.5527305,173.1201056,101.9853555
9590,133.5714286,133.0963733,168.497713,97.69503364
9640,131.5384615,128.5546487,163.7831729,93.32612442
9690,133.3333333,123.9431936,159.0009614,88.88542581
9740,133.3333333,119.2708708,154.1641083,84.37763323
9790,107,114.5373602,149.2719155,79.80280503
9840,107,109.7353764,144.3142056,75.15654712
9890,96.66666667,104.8622556,139.2867542,70.43775694
9940,96.66666667,99.91988938,134.1914308,65.64834797
